,root,name,w_id,w_cycle_a,w_cycle_b,w_align_a,w_align_b
0,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=2.0__w_cycle_b=2.0,,2.0,2.0,,
1,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=2.0__w_cycle_b=3.0,,2.0,3.0,,
2,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=2.0__w_cycle_b=4.0,,2.0,4.0,,
3,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=3.0__w_cycle_b=2.0,,3.0,2.0,,
4,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=3.0__w_cycle_b=3.0,,3.0,3.0,,
5,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=3.0__w_cycle_b=4.0,,3.0,4.0,,
6,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=4.0__w_cycle_b=2.0,,4.0,2.0,,
7,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=4.0__w_cycle_b=3.0,,4.0,3.0,,
8,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=4.0__w_cycle_b=4.0,,4.0,4.0,,
9,arc/there_and_back_2/7-02-2019/rad2real,use_gan=True__w_align_a=1.0__w_align_b=1.0,,,,1.0,1.0
10,arc/there_and_back_2/7-02-2019/rad2real,use_gan=True__w_align_a=10.0__w_align_b=10.0,,,,10.0,10.0
11,arc/there_and_back_2/7-02-2019/rad2real,use_gan=True__w_align_a=100.0__w_align_b=100.0,,,,100.0,100.0
12,arc/there_and_back_2/7-02-2019/rad2real,use_gan=False,,,,10.0,10.0
13,arc/there_and_back_2/7-02-2019/rad2sim,w_align_a=None__w_align_b=None,,,,,
14,arc/there_and_back_2/7-02-2019/rad2sim,w_cycle_a=10.0__w_cycle_b=10.0,,10.0,10.0,,
15,arc/there_and_back_2/7-02-2019/rad2sim,w_align_b=10.0,,,,,10.0
16,arc/there_and_back_2/7-02-2019/rad2sim,w_align_b=10.0__w_cycle_a=10.0__w_cycle_b=10.0,,10.0,10.0,,10.0
17,jade/there_and_back/10-02-2019/rad2sim2rad/rad2sim,use_gan=False__w_cycle_a=None__w_cycle_b=None,,,,1.0,1.0
18,jade/there_and_back/10-02-2019/rad2sim2rad/rad2sim,use_gan=True__w_cycle_a=None__w_cycle_b=None,,,,1.0,1.0
19,jade/there_and_back/10-02-2019/rad2sim2rad/rad2sim,use_gan=True__w_cycle_a=1.0__w_cycle_b=1.0,,1.0,1.0,1.0,1.0
20,jade/there_and_back/10-02-2019/rad2sim2rad/rad2sim,use_gan=True__w_cycle_a=1.0__w_cycle_b=1.0_1,,1.0,1.0,1.0,1.0
21,jade/there_and_back/10-02-2019/rad2sim2rad/rad2sim,use_gan=True__w_cycle_a=1.0__w_cycle_b=1.0_2,,1.0,1.0,1.0,1.0
22,jade/there_and_back/10-02-2019/rad2sim2rad/rad2sim,use_gan=True__w_cycle_a=1.0__w_cycle_b=1.0_3,,1.0,1.0,1.0,1.0
23,jade/there_and_back/10-02-2019/rad2sim2rad/rad2sim,use_gan=True__w_cycle_a=None__w_cycle_b=None_1,,,,1.0,1.0
24,jade/there_and_back/10-02-2019/rad2sim2rad/rad2sim,use_gan=True__w_cycle_a=None__w_cycle_b=None_2,,,,1.0,1.0
25,jade/there_and_back/10-02-2019/rad2sim2rad/rad2sim,use_gan=True__w_cycle_a=None__w_cycle_b=None_3,,,,1.0,1.0


Roots relative to: /Users/robweston/data/experiments-remote
